Codigo PAIS|Nombre PAIS|Codigo DEPARTAMENTO|Nombre DEPARTAMENTO|Codigo PROVINCIA|Nombre PROVINCIA|Codigo MUNICIPIO|Nombre MUNICIPIO|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0551705517|UNIVERSIDAD UCATEC (EX CEIVO)|31940|31940|173|37|1|217|235|6|210
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1253312533|UNIDAD EDUCATIVA PROGRESO|25468|25468|80|126|2|213|236|5|206
BO|BOLIVIA|05|POTOSI|0512|ANTONIO QUIJARRO|051201|UYUNI (THOLA PAMPA)|1821218212|U.E. UYUNI A|51816|51816|117|81|1|203|227|4|198
BO|BOLIVIA|07|SANTA CRUZ|0704|ICHILO|070404|SAN JUAN|2596825968|ESC. POPULAR DON BOSCO|75577|75577|99|78|44|226|226|5|177
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2368423684|COL.ESCUELA BOLIVIA HOLANDA|72901|72901|62|90|1|204|235|51|152
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1490614906|ESC. EDUARDO AVAROA|22195|22195|126|72|1|206|229|7|198
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2222522225|COL.U.E. 26 DE SEPTIEMBRE|71442|71442|76|113|5|195|234|1|189
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2240522405|COL.  PEDRO AÑEZ|71622|71622|127|55|2|189|229|5|182
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2374623746|COL. CASTILLA LA MANCHA|72963|72963|110|75|0|193|235|8|185
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2393323933|COL.POLIFUNCIONAL CALAMA|73150|73150|97|110|3|212|236|2|207
BO|BOLIVIA|08|BENI|0801|CERCADO|080101|TRINIDAD|0002200022|ESC.NICOLAS SUAREZ|80011|80011|147|42|1|191|226|1|189
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1296112961|COL. SANTA ANA|20250|20250|158|50|1|212|232|3|208
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2256122561|COL. FAUSTO MEDRANO|71778|71778|106|92|1|204|235|5|198
BO|BOLIVIA|07|SANTA CRUZ|0702|WARNES|070201|WARNES|2757127571|ESC. JUANA AZURDUY DE PADILLA|75093|75093|89|102|2|207|232|14|191
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2434924349|COL. JULIO A. GUTIERREZ|73566|73566|163|22|0|197|230|12|185
BO|BOLIVIA|07|SANTA CRUZ|0713|MANUEL M. CABALLERO|071301|COMARAPA|2612826128|ESC. GABRIEL RENE MORENO|77163|77163|96|94|5|205|231|10|190
BO|BOLIVIA|06|TARIJA|0604|AVILÉS|060401|URIONDO (CONCEPCIÓN)|2781627816|COL. DELFIN PINO ICHAZU|61340|61340|127|59|0|191|230|5|186
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071001|MONTERO|2675226752|UE MAXIMILIANO KOLBE|76493|76493|118|85|2|210|233|5|203
BO|BOLIVIA|03|COCHABAMBA|0310|CHAPARE|031003|VILLA TUNARI|0642506425|COLEGIO NUEVA TACOPAYA|34506|34506|17|194|0|218|236|7|211
BO|BOLIVIA|03|COCHABAMBA|0316|TIRAQUE|031602|SHINAHOTA|0808308083|UNIDAD EDUCATIVA MAJO PAMPA "A"|35353|35353|8|217|1|228|240|2|225
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1422014220|UNIDAD EDUCATIVA MALLASA|21509|21509|103|114|0|220|235|3|217
BO|BOLIVIA|03|COCHABAMBA|0311|TAPACARÍ|031101|TAPACARÍ|0798907989|UNIDAD EDUCATIVA NORBERTO JIMENEZ|34548|34548|17|156|9|187|216|5|173
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1223112231|ESCUELA 16 DE FEBRERO|25166|25166|87|123|0|219|238|9|210
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1434414344|COLEGIO SAN IGNACIO|21633|21633|123|46|2|173|234|2|169
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2179421794|COLEGIO JOSEFINA BALSAMO( LOS TUSEQUIS)|71011|71011|40|145|0|188|233|3|185
BO|BOLIVIA|02|LA PAZ|0213|AROMA|021301|SICA SICA (VILLA AROMA)|0836308363|COLEGIO TAWANTINSUYO|27454|27454|51|161|2|218|228|4|212
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1402514025|COLEGIO RENE BARRIENTOS|21314|21314|171|31|0|205|229|3|202
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1413914139|UNID EDUCATIVA BETESTA|21428|21428|74|127|3|215|230|11|201
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1184711847|UNIDAD EDUCATIVA MERCEDES ELIO DE RIVERO|24782|24782|77|139|2|221|235|3|216
BO|BOLIVIA|05|POTOSI|0508|SUR CHICHAS|050801|TUPIZA|1946619466|ESC. SUIPACHA|51552|51552|38|102|12|160|223|8|140
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0374103741|COLEGIO ABAROA|30164|30164|138|51|0|195|232|6|189
BO|BOLIVIA|03|COCHABAMBA|0304|ESTEBAN ARCE|030401|TARATA|0654206542|UNIDAD EDUCATIVA HUERTA MAYU|32336|32336|4|191|1|199|224|3|195
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1472714727|COLEGIO SAN LUIS|22016|22016|151|51|1|204|229|1|202
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0391003910|COLEGIO CRISTO REY|30333|30333|169|25|0|200|227|6|194
BO|BOLIVIA|08|BENI|0802|VACA DIÉZ|080201|RIBERALTA|0086100861|COLEGIO EDUARDO ABAROA|80352|80352|110|64|0|177|231|3|174
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1247412474|UNIDAD EDUCATIVA SAN ROQUE|25409|25409|79|118|1|206|235|8|197
BO|BOLIVIA|01|CHUQUISACA|0103|ZUDÁÑEZ|010304|ICLA (RICARDO MUJIA)|0273002730|UNIDAD EDUCATIVA "SOROMA"|11085|11085|3|135|0|140|158|2|138
BO|BOLIVIA|02|LA PAZ|0217|MANCO KAPAC|021701|COPACABANA|0983609836|ESC. COL. TEC. HUMANISTICO HUACUYO|27861|27861|42|137|1|188|227|8|179
BO|BOLIVIA|03|COCHABAMBA|0312|CARRASCO|031205|PUERTO VILLARROEL|0341603416|UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS|34751|34751|37|156|2|202|234|7|193
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0500705007|ESCUELA RICARDO PRUDENCIO|31430|31430|89|105|4|208|234|10|194
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1180011800|COLEGIO NESTOR PAZ|24735|24735|40|95|1|211|229|75|135
BO|BOLIVIA|09|PANDO|0903|MADRE DE DIOS|090302|SAN LORENZO|1779417794|U.E.  24 DE SEPTIEMBRE|90261|90261|47|128|3|183|237|5|175
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1522915229|COLEGIO ITALIA|22518|22518|110|93|1|208|234|4|203
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0160201602|UNIDAD EDUCATIVA "QUILA QUILA"|10029|10029|85|64|6|167|223|12|149
BO|BOLIVIA|03|COCHABAMBA|0312|CARRASCO|031205|PUERTO VILLARROEL|0349703497|ESCUELA TORIBIO CLAURE (V. HERMOSO)|34832|34832|29|166|1|201|235|5|195
BO|BOLIVIA|05|POTOSI|0511|JOSÉ MARÍA LINARES|051103|CKOCHAS|1877218772|ESC.DE CALAPAYA|51776|51776|50|89|22|166|229|5|139
BO|BOLIVIA|03|COCHABAMBA|0316|TIRAQUE|031601|TIRAQUE|0809208092|COLEGIO JUAN JOSE CARRASCO|35247|35247|26|162|8|200|226|4|188
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2222122221|U.E. BIBOSI|71438|71438|53|53|1|109|125|2|106
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2377023770|COL. CASTILLA LA MANCHA|72987|72987|118|73|1|193|232|1|191
